root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940605158572,[],GNG.1137,GABA,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,655,487
720575940608601355,[],SLP.78,ACH,afferent,ascending,AN,,['CB0692'; 'hb-422328492'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,739,651
720575940610609454,['ALPN; VP2_lvPN'],AL.LH.128,ACH,intrinsic,central,ALPN,,['CB3623'; 'VP2+Z_lvPN'; 'Z_lvPNm1'],ALlv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,218,506
720575940610956334,['Turner; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS49422#'],GNG.SCL.1,GABA,intrinsic,central,,,['CL114'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,611,1726
720575940611015122,['Second-order gustatory neuron Zorro (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_264'],GNG.833,ACH,intrinsic,central,,,['CB0192'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,919,267
720575940614099142,[],GNG.SLP.27,ACH,intrinsic,central,,,['AVLP445'],ALl1_ventral,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,298,1007
720575940614418794,['ascending_FW_73'],GNG.1294,SER,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,515,258
720575940614635175,[],GNG.11,GABA,intrinsic,central,,,['CB0159'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,4915,2947
720575940615292895,['DM6'; 'DNp'],GNG.280,ACH,efferent,descending,,,['DNpe049'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1597,1018
720575940615495839,[],GNG.783,GABA,intrinsic,central,,,['CB0498'],TRdm,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,722,660
720575940617335382,['fru'; 'aDT5'],GNG.SLP.22,ACH,intrinsic,central,,,['SLP238'],ALl1_ventral,,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,531,554
720575940619659861,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3318,SER,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'],right,38,5
720575940620262465,[],GNG.167,GLUT,intrinsic,central,,,['CB0812'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,2057,1241
720575940620441024,['Tophat; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS39932#'],GNG.SCL.4,GABA,intrinsic,central,ALPN,,['Z_vPNml1'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,470,1222
720575940620553094,['SEZ interneuron closely matching GRN arbors'],GNG.13,GABA,intrinsic,central,,,['CB0159'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,4469,3021
720575940620874757,['G2N-1; Second-order taste neuron'],GNG.624,ACH,intrinsic,central,,,['CB0616'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,994,530
720575940621089741,['brontosaurus; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'],GNG.LH.8,ACH,intrinsic,central,,,['CB2388'; 'VP2+Z_lvPN'; 'Z_lvPNm1'],ALlv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,229,114
720575940621442124,['up_DN1_IN_6'],AVLP.GNG.32,GLUT,intrinsic,central,,,['CB0101'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,868,1048
720575940621818790,['unclassified_IN_FW_468'],GNG.PRW.1,GABA,intrinsic,central,,,['CB0211'],putative_primary,,[],left,1454,2526
720575940621902085,['Second-order gustatory neuron Dandelion (Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'; 'ascending_FW_100'],GNG.1290,GABA,afferent,ascending,AN,,['CB3810'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,284,265
720575940622154266,[],GNG.585,GLUT,intrinsic,central,,,['CB2619'],LB7__prim,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,406,1108
720575940622537477,['descending_FW_6'],GNG.549,GABA,efferent,descending,,,['DNge067'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1610,483
720575940622541005,['Tophat; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS39932#'],GNG.SCL.5,GABA,intrinsic,central,ALPN,,['Z_vPNml1'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,486,1127
720575940622688765,['Mime; Putative second-order bitter neuron; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS47275#'],GNG.PRW.26,ACH,intrinsic,central,,,['CB0963'],LB5,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,270,204
720575940622695448,['Specter (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_628'],GNG.185,GABA,intrinsic,central,,,['CB0248'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1070,1830
720575940623154712,['unclassified_IN_FW_529'],PRW.7,GABA,intrinsic,central,,,['CB0211'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1297,2286
