root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940619072513,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1912,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,[],left,83,180
720575940646212996,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2131,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,53,332
720575940622298631,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2904,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,41,41
720575940642088333,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2946,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['reciprocal'],right,27,29
720575940617239197,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3093,SER,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['highly_reciprocal_neuron'; 'reciprocal'],right,43,26
720575940618682526,['labellar bitter gustatory receptor neuron (GRN)'],GNG.4129,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,[],right,6,5
720575940603266592,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.1894,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,82,238
720575940604027168,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2941,ACH,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,19,41
720575940619197093,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'],GNG.1884,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,51,248
720575940610259370,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'],GNG.2867,ACH,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,25,39
720575940629481516,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN'],GNG.2254,SER,afferent,sensory,gustatory,bitter,['LB1b'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,78,183
720575940627578156,['Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2750,,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,50,67
720575940618887217,['labellar bitter gustatory receptor neuron (GRN)'],GNG.2697,SER,afferent,sensory,gustatory,bitter,['LB1a'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,54,50
