root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940626390018,['brontosaurus; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'],GNG.SCL.12,ACH,intrinsic,central,ALPN,,['VP2+Z_lvPN'; 'Z_lvPNm1a'; 'Z_lvPNm1'],ALlv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,141,221
720575940627936515,['Mime; Putative second-order bitter neuron; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS47275#'],PRW.180,ACH,intrinsic,central,,,[],LB5,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,256,175
720575940627709956,['up_DN1_IN_6'],AVLP.GNG.34,GLUT,intrinsic,central,,,['CB0101'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1051,866
720575940622537477,['descending_FW_6'],GNG.549,GABA,efferent,descending,DN,,['DNge067'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1624,483
720575940621902085,['Second-order gustatory neuron Dandelion (Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'; 'ascending_FW_100'],GNG.1290,GABA,afferent,ascending,AN,,['AN720575940621902085'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,279,265
720575940624600840,['Second-order bitter neuron Scapula (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'Dahlia R; Owl postsynaptic neuron'],GNG.66,GLUT,intrinsic,central,,,['CB0219'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,3752,2450
720575940608601355,[],SLP.78,ACH,afferent,ascending,AN,,['hb422328492'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,739,653
720575940623154712,['unclassified_IN_FW_529'],PRW.7,GABA,intrinsic,central,,,['CB0211'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1297,2285
720575940622154266,[],GNG.585,GLUT,intrinsic,central,,,[],LB7__prim,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,406,1108
720575940632556831,[],GNG.SLP.21,ACH,afferent,ascending,AN,,['hb422328492'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,607,448
720575940623381286,['unclassified_IN_FW_447'; 'taste peg gustatory receptor neuron/GRN?'],GNG.516,GLUT,intrinsic,central,,,['CB0254'],LB7__prim,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1081,1016
720575940625728551,['unclassified_IN_FW_468'],GNG.PRW.1,GABA,intrinsic,central,,,['CB0211'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1457,2524
720575940624253991,['Mime; Putative second-order bitter neuron; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS47275#'],GNG.PRW.33,ACH,intrinsic,central,,,[],LB5,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,380,218
720575940628024107,['ALPN; VP2_lvPN'],GNG.LH.5,ACH,intrinsic,central,ALPN,,['VP2+Z_lvPN'; 'Z_lvPNm1b'; 'Z_lvPNm1'],ALlv1,,['feedforward_loop_participant'; 'rich_club'],left,171,328
720575940627916331,[],GNG.355,ACH,intrinsic,central,,,['CB0457'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1320,1002
720575940629481516,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN'],GNG.2254,SER,afferent,sensory,gustatory,,[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,78,183
720575940610956334,['Turner; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS49422#'],GNG.SCL.1,GABA,intrinsic,central,,,['CL114'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,643,1726
720575940610609454,['ALPN; VP2_lvPN'],AL.LH.128,ACH,intrinsic,central,ALPN,,['VP2+Z_lvPN'; 'Z_lvPNm1b'; 'Z_lvPNm1'],ALlv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,202,506
720575940625867056,['unclassified_IN_FW_259'],GNG.145,DA,intrinsic,central,,,['CB0573'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,1693,581
