root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,morphology_cluster,connectivity_cluster
720575940646212996,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2131,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,53,332,MC_1272.44,CC_1655.6
720575940622298631,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2904,,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,41,41,MC_1272.44,CC_169.117
720575940642088333,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2946,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['reciprocal'],right,27,29,MC_1272.44,CC_118.162
720575940617239197,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3093,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['highly_reciprocal_neuron'; 'reciprocal'],right,43,26,MC_1272.44,CC_118.162
720575940618682526,['labellar bitter gustatory receptor neuron (GRN)'],GNG.4129,SER,afferent,sensory,gustatory,,[],[],,MxLbN,[],right,6,5,MC_1272.44,
720575940603266592,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.1894,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,82,238,MC_1272.44,CC_441.31
720575940604027168,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2941,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,19,41,MC_1272.44,CC_169.117
720575940619197093,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'],GNG.1884,,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,51,248,MC_1272.44,CC_145.131
720575940610259370,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'],GNG.2867,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,25,39,MC_1272.44,CC_169.117
720575940629481516,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN'],GNG.2254,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,78,183,MC_1272.44,CC_1425.7
720575940618887217,['labellar bitter gustatory receptor neuron (GRN)'],GNG.2697,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,54,50,MC_1272.44,CC_118.162
720575940614281266,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.2924,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,42,45,MC_1272.44,CC_169.117
720575940645743412,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1863,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,56,247,MC_1272.44,CC_6583.2
720575940637742911,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3612,SER,afferent,sensory,gustatory,,[],[],,MxLbN,[],right,19,5,MC_1272.44,CC_2332.4
720575940630195909,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.3043,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,[],left,18,34,MC_1272.44,CC_169.117
720575940615641798,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3001,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['reciprocal'],right,37,38,MC_1272.44,CC_118.162
720575940638312262,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3386,,afferent,sensory,gustatory,,[],[],,MxLbN,['reciprocal'],right,20,10,MC_1272.44,CC_118.162
720575940613061118,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1858,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,53,318,MC_1272.44,CC_6289.2
720575940624310345,['labellar bitter gustatory receptor neuron (GRN)'],GNG.2978,,afferent,sensory,gustatory,,[],[],,MxLbN,['highly_reciprocal_neuron'; 'reciprocal'],right,37,22,MC_1272.44,CC_118.162
720575940618600651,['labellar bitter gustatory receptor neuron (GRN)'; 'Bitter Gustatory Receptor Neuron (GRN); See Engert et al.; 2022; https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1912,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,83,180,MC_1272.44,CC_6289.2
720575940621778381,['labellar bitter gustatory receptor neuron (GRN)'; 'Sensory Neuron'; 'gustatory receptor neuron/GRN?'],GNG.2328,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,50,252,MC_1272.44,CC_145.131
720575940619659861,['labellar bitter gustatory receptor neuron (GRN)'],GNG.3318,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'],right,38,5,MC_1272.44,CC_2332.4
720575940625750105,['labellar bitter gustatory receptor neuron (GRN)'; 'gustatory receptor neuron/GRN?'],GNG.2047,SER,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,72,263,MC_1272.44,CC_1425.7
