root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940604891360,['ascending neurons'],GNG.553,,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,964,678
720575940610550830,[],GNG.1197,ACH,intrinsic,central,,,['CB1898'],TRdl_b,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,482,429
720575940610683315,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN'],GNG.1981,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,130,233
720575940610956334,['Turner; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS49422#'],GNG.SCL.1,GABA,intrinsic,central,,,['CL114'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,611,1726
720575940612920386,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'; 'interneuron sim to gustatory receptor neuron/GRN'],GNG.2230,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,134,293
720575940613524973,[],GNG.SLP.35,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,706,161
720575940614128691,[],GNG.670,ACH,intrinsic,central,,,['CB0437'],TRdl_b,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1151,556
720575940614211295,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2229,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,122,363
720575940614635175,[],GNG.11,GABA,intrinsic,central,,,['CB0159'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,4915,2947
720575940616759014,['FLAa2'],GNG.SLP.11,ACH,intrinsic,central,,,['CB0638'; 'hb-583042026'; 'hb-614059839'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,538,975
720575940617671285,[],GNG.SLP.13,ACH,intrinsic,central,,,['CB0638'; 'hb-583042026'; 'hb-614059839'],putative_primary,,[],left,591,869
720575940619034782,[],GNG.SLP.20,GLUT,intrinsic,central,,,['CB0678'; 'hb-457175054'; 'hb-488891877'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,729,447
720575940620553094,['SEZ interneuron closely matching GRN arbors'],GNG.13,GABA,intrinsic,central,,,['CB0159'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,4469,3021
720575940621218694,['Pringle; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'],GNG.114,GLUT,intrinsic,central,,,['CB0571'; 'Pringle'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,946,2108
720575940621375231,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2013,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,102,279
720575940621953285,['WEDa1_ventral'],GNG.1190,GLUT,intrinsic,central,,,['CB0161'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,610,639
720575940623696362,['ascending tarsal GRN (atGRN) (Thoma et al. 2016)'],GNG.1060,GABA,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,642,864
720575940624079544,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2153,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,136,337
720575940624600840,['Second-order bitter neuron Scapula (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'Dahlia R; Owl postsynaptic neuron'],GNG.66,GLUT,intrinsic,central,,,['CB0219'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,3752,2450
720575940626016017,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2098,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,140,169
720575940627709956,['up_DN1_IN_6'],AVLP.GNG.34,GLUT,intrinsic,central,,,['CB0101'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1052,869
720575940628198503,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2043,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,178,305
720575940628683063,[],PRW.29,ACH,intrinsic,central,,,['CB0099'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1172,1050
720575940629861163,['Earmuff; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS31063#'],GNG.SLP.10,GABA,intrinsic,central,,,['CB0550'],VESa1,,[],left,845,922
720575940630575943,['Mime; Putative second-order bitter neuron; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS47275#'],GNG.1284,ACH,intrinsic,central,,,['CB1974'],LB5,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,377,156
720575940631082124,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2040,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,142,199
720575940631092943,['DNg'],GNG.89,GLUT,intrinsic,central,,,['CB0016'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,3000,1912
