root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,morphology_cluster,connectivity_cluster
720575940612920386,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'; 'interneuron sim to gustatory receptor neuron/GRN'],GNG.2230,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,134,293,MC_957.60,CC_223.87
720575940626241636,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2490,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,59,192,MC_957.60,CC_1655.6
720575940628198503,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2043,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,178,305,MC_957.60,CC_1273.8
720575940631082124,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2040,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,142,199,MC_957.60,CC_223.87
720575940626016017,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2098,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,140,169,MC_957.60,CC_223.87
720575940610683315,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN'],GNG.1981,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,130,233,MC_957.60,CC_223.87
720575940621375231,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2013,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,102,279,MC_957.60,CC_223.87
720575940624079544,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2153,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,136,337,MC_957.60,CC_144.132
720575940615274425,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2168,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,60,224,MC_957.60,
720575940638218173,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'],GNG.2029,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,120,235,MC_957.60,CC_223.87
720575940614211295,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2229,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,122,363,MC_957.60,CC_223.87
