root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,morphology_cluster,connectivity_cluster
720575940604891360,['ascending neurons'],GNG.553,,afferent,ascending,AN,,[],[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,964,676,MC_160.116,
720575940610550830,[],GNG.1197,ACH,intrinsic,central,,,[],[],TRdl_b,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,493,426,MC_234.106,CC_6091.2
720575940610683315,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN'],GNG.1981,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,130,233,MC_957.60,CC_223.87
720575940610956334,['Turner; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS49422#'],GNG.SCL.1,GABA,intrinsic,central,,,[],['CL114'],ALv1,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,643,1726,MC_2664.2,
720575940611715813,['Pringle; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'],GNG.152,GLUT,intrinsic,central,,,['CB0571'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,873,1896,MC_1860.6,
720575940612920386,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'; 'interneuron sim to gustatory receptor neuron/GRN'],GNG.2230,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,134,293,MC_957.60,CC_223.87
720575940613524973,[],GNG.SLP.35,ACH,afferent,ascending,AN,,[],[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,705,161,MC_46.157,
720575940614128691,[],GNG.670,ACH,intrinsic,central,,,['CB0437'],[],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1168,556,MC_317.97,
720575940614211295,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2229,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,122,363,MC_957.60,CC_223.87
720575940614635175,[],GNG.11,GABA,intrinsic,central,,,['CB0159'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,4972,2947,MC_317.97,
720575940615274425,['Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2168,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,60,224,MC_957.60,
720575940616759014,['FLAa2'],GNG.SLP.11,ACH,intrinsic,central,,,[],['hb614059839'; 'hb583042026'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,538,971,MC_2165.4,
720575940619034782,[],GNG.SLP.20,GLUT,intrinsic,central,,,[],['hb488891877'; 'hb457175054'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,729,445,MC_2165.4,
720575940619185031,['mAL5'; 'fru'; 'mALe; put_AVM15i'],GNG.AVLP.55,GABA,intrinsic,central,mAL,,[],['mAL'],CREa1_ventral,,['3_cycle_participant'; 'feedforward_loop_participant'],right,116,192,MC_610.77,
720575940620553094,['SEZ interneuron closely matching GRN arbors'],GNG.13,GABA,intrinsic,central,,,['CB0159'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'nsrn'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,4534,3018,MC_317.97,
720575940620627803,[],GNG.578,GABA,intrinsic,central,,,['CB0541'],[],TRdm,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,707,1261,MC_234.106,
720575940621218694,['Pringle; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'],GNG.114,GLUT,intrinsic,central,,,['CB0571'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,945,2108,MC_1860.6,
720575940621375231,['lGRN'; 'Gustatory Receptor Neuron (GRN); Putative Ir94e (Jaeger et. al.; 2018 https://doi.org/10.7554/eLife.37167)'; 'gustatory receptor neuron/GRN?'],GNG.2013,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,102,279,MC_957.60,CC_223.87
