root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940606866377,['DNg'],GNG.96,GABA,efferent,descending,,,['DNg103'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1484,1663
720575940610584945,[],GNG.1215,ACH,intrinsic,central,,,['CB0880'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,764,957
720575940610916465,[],GNG.541,GABA,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1999,844
720575940611015122,['Second-order gustatory neuron Zorro (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_264'],GNG.833,ACH,intrinsic,central,,,['CB0192'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,919,267
720575940611875570,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al.; 2022 https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1836,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,153,254
720575940612479205,[],GNG.832,GABA,intrinsic,central,,,['CB0225'],MD3,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,845,1102
720575940612648106,['Fudog (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'DNg'],GNG.989,ACH,efferent,descending,,,['DNg67'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,347,670
720575940612670570,['Possible Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1664,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,181,342
720575940613361010,['Peahen; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS39038#'],PRW.SLP.6,ACH,intrinsic,central,,,['CB0643'; 'hb-330998071'; 'hb-362024428'],FLAa2,,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,311,551
720575940614418794,['ascending_FW_73'],GNG.1294,SER,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,515,258
720575940614660519,['Justice; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS29813#'; 'resembles `balloon` neuron in Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'; 'unclassified_IN_FW_518'],GNG.212,DA,intrinsic,central,,,['CB0461'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1626,578
720575940614763666,['Second-order gustatory neuron FMIN (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'],GNG.550,ACH,intrinsic,central,,,['CB0366'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1308,872
720575940614998166,[],GNG.741,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,754,1077
720575940616103218,['Phantom; Second-order taste neuron'],GNG.816,GABA,intrinsic,central,,,['CB0062'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,601,874
720575940616885538,['labial GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1745,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,189,161
720575940617000768,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1830,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,118,223
720575940617114418,['not a neuron'],GNG.1921,ACH,intrinsic,central,,,['CB2820'],LB23,,[],left,180,78
720575940617593233,[],GNG.885,ACH,intrinsic,central,,,['CB0501'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,732,454
720575940618574749,['descending_FW_48'; 'DNg'],GNG.2,ACH,efferent,descending,,,['DNg35'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,10066,394
720575940618696989,['unclassified_IN_FW_407'],GNG.1063,GABA,intrinsic,central,,,['CB0964'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,238,648
720575940619588568,['unclassified_IN_FW_598'],GNG.987,GABA,intrinsic,central,,,['CB0964'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,242,739
720575940619973712,['Second-order gustatory neuron Quasimodo'; 'unclassified_IN_FW_92'],GNG.298,GABA,intrinsic,central,,,['CB0118'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1479,1699
720575940620589838,[],GNG.1934,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,134,231
720575940620856046,[],GNG.2060,ACH,afferent,sensory,gustatory,low-salt,['LB2'],,MxLbN,['feedforward_loop_participant'; 'highly_reciprocal_neuron'; 'reciprocal'],left,230,338
720575940620874757,['G2N-1; Second-order taste neuron'],GNG.624,ACH,intrinsic,central,,,['CB0616'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,994,530
720575940621329328,['unclassified_IN_FW_523'],GNG.577,ACH,intrinsic,central,,,['CB0552'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,942,622
720575940621502051,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1908,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,125,165
720575940621754367,['labial GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.2329,,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,89,96
720575940622116705,[],GNG.1152,GABA,intrinsic,central,,,['CB0070'],,,[],left,254,325
720575940622405708,['labial GRN'],GNG.2564,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,125,101
720575940622413508,['gustatory receptor neuron/GRN?'],GNG.2270,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,136,84
720575940622695448,['Specter (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_628'],GNG.185,GABA,intrinsic,central,,,['CB0248'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1070,1830
720575940622825736,['gustatory receptor neuron/GRN?'],GNG.2157,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,128,135
720575940623210445,['ascending_FW_248'; 'ascending_FW_255'],GNG.561,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1022,1148
720575940623718380,['G2N-1; Second-order taste neuron; See Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.79887 Miyazaki et al.; 2015; 10.3109/01677063.2015.1054993'],GNG.766,ACH,intrinsic,central,,,['CB0616'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,830,453
720575940624963786,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.1690,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,127,289
720575940625047484,['unclassified_IN_FW_403'],GNG.610,,intrinsic,central,,,['CB0087'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1058,1109
720575940625102692,[],PRW.50,ACH,intrinsic,central,,,['CB0883'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1956,1775
720575940625164558,[],GNG.791,ACH,intrinsic,central,,,['CB0604'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1023,291
