root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,morphology_cluster,connectivity_cluster
720575940606866377,['DNg'],GNG.96,GABA,efferent,descending,DN,,['DNge163'],[],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1483,1642,MC_317.97,
720575940610584945,[],GNG.1215,ACH,intrinsic,central,,,[],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,764,957,MC_196.112,CC_2458.4
720575940610916465,[],GNG.541,GABA,afferent,ascending,AN,,[],[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,2005,844,MC_317.97,
720575940611015122,['Second-order gustatory neuron Zorro (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_264'],GNG.833,ACH,intrinsic,central,,,['CB0192'],[],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,918,267,MC_196.112,CC_198.98
720575940611149922,[],PRW.5,GLUT,intrinsic,central,,,['CB0583'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,2884,1079,MC_127.123,CC_6139.2
720575940611875570,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al.; 2022 https://doi.org/10.7554/eLife.78110'; 'gustatory receptor neuron/GRN?'],GNG.1836,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,153,254,MC_243.104,CC_144.132
720575940612064113,[],GNG.1152,GABA,intrinsic,central,,,['CB0070'],[],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,249,324,MC_2733.2,
720575940612479205,[],GNG.832,GABA,intrinsic,central,,,['CB0225'],[],MD3,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,842,1103,MC_196.112,
720575940612611301,['unclassified_IN_FW_254'],GNG.567,ACH,intrinsic,central,,,['CB0277'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1222,1307,MC_196.112,CC_298.58
720575940612648106,['Fudog (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'DNg'],GNG.989,ACH,efferent,descending,DN,,['DNge202'],[],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,347,670,MC_2766.2,CC_223.87
720575940612670570,['Possible Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1664,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,181,342,MC_243.104,CC_223.87
720575940612692633,['unclassified_IN_FW_514'],GNG.159,ACH,intrinsic,central,,,[],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,2734,1342,MC_317.97,CC_3706.3
720575940613361010,['Peahen; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS39038#'],PRW.SLP.6,ACH,intrinsic,central,,,[],['hb330998071'; 'hb362024428'],FLAa2,,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,311,572,MC_2078.4,
720575940613942703,['DNp'],GNG.282,ACH,efferent,descending,DN,,['DNpe049'],[],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,1489,1137,MC_317.97,
720575940614418794,['ascending_FW_73'],GNG.1294,SER,afferent,ascending,AN,,[],[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,521,258,MC_1790.8,CC_6442.2
720575940614660519,['Justice; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS29813#'; 'resembles `balloon` neuron in Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679'; 'unclassified_IN_FW_518'],GNG.212,DA,intrinsic,central,,,['CB0461'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1625,578,MC_1860.6,
720575940614763666,['Second-order gustatory neuron FMIN (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'],GNG.550,ACH,intrinsic,central,,,['CB0366'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1312,874,MC_196.112,CC_722.15
720575940614998166,[],GNG.741,ACH,afferent,ascending,AN,,[],[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,754,1077,MC_196.112,CC_1362.7
720575940615041430,['DNg'],GNG.52,GABA,efferent,descending,DN,,['DNge031'],[],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,4356,2673,MC_6.239,
720575940616103218,['Phantom; Second-order taste neuron'],GNG.816,GABA,intrinsic,central,,,['CB0062'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,601,874,MC_317.97,CC_223.87
720575940616885538,['labial GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1745,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,189,161,MC_243.104,CC_144.132
720575940617000768,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1830,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,118,223,MC_243.104,CC_144.132
720575940617593233,[],GNG.885,ACH,intrinsic,central,,,['CB0501'],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,732,454,MC_196.112,CC_3878.3
720575940618574749,['descending_FW_48'; 'DNg'],GNG.2,ACH,efferent,descending,DN,,['DNg35'],[],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,10072,394,MC_18.193,
720575940618696989,['unclassified_IN_FW_407'],GNG.1063,GABA,intrinsic,central,,,[],[],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,238,648,MC_6.239,CC_144.132
