root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940605162924,['up_DN1_IN_5'; 'DNp'],GNG.932,ACH,efferent,descending,,,['DNpe030'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,584,298
720575940607253170,['SEZ-LN1; second order taste peg neuron (new cell type named in ongoing Ribeiro lab project)'],GNG.403,GABA,intrinsic,central,,,['CB0011'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,746,654
720575940611015122,['Second-order gustatory neuron Zorro (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_264'],GNG.833,ACH,intrinsic,central,,,['CB0192'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,919,267
720575940611549902,[],GNG.618,GABA,intrinsic,central,,,['CB0881'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1068,1468
720575940611849826,['Moor; See Sterne et al.; 2021; https://doi.org/10.7554/eLife.71679; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS38140#'; 'unclassified_IN_FW_415'],GNG.952,,intrinsic,central,,,['CB0834'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,773,735
720575940612579053,['gustatory receptor neuron/GRN?'],GNG.2067,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,47,199
720575940612648106,['Fudog (Sterne et al.; 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'; 'DNg'],GNG.989,ACH,efferent,descending,,,['DNg67'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,347,670
720575940612670570,['Possible Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1664,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,181,342
720575940612950568,[],GNG.1916,,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,56,209
720575940613786774,[],GNG.2864,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'],left,40,58
