root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,morphology_cluster,connectivity_cluster
720575940660292225,[],GNG.2800,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'],left,24,50,MC_243.104,CC_169.117
720575940629852866,[],GNG.2743,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,9,73,MC_243.104,CC_3328.3
720575940635172191,['taste sensory (gustatory) neurons'],GNG.1994,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,45,197,MC_243.104,CC_145.131
720575940622902535,['gustatory receptor neuron/GRN?'],GNG.2010,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,82,174,MC_243.104,CC_145.131
720575940630553415,['gustatory receptor neuron/GRN?'],GNG.2193,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,50,201,MC_243.104,CC_145.131
720575940612950568,[],GNG.1916,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,56,209,MC_243.104,CC_145.131
720575940622486922,['labial GRN'; 'gustatory receptor neuron/GRN?'],GNG.1972,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,74,202,MC_957.60,CC_145.131
720575940631898285,[],GNG.2664,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'],left,35,91,MC_243.104,CC_169.117
720575940612579053,['gustatory receptor neuron/GRN?'],GNG.2067,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,47,199,MC_243.104,CC_145.131
720575940625861168,[],GNG.2263,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,113,149,MC_243.104,CC_144.132
720575940606002609,[],GNG.2464,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,51,125,MC_243.104,CC_145.131
720575940616177458,['gustatory receptor neuron/GRN?'],GNG.2121,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,78,198,MC_243.104,CC_6583.2
720575940625203504,['gustatory receptor neuron/GRN?'],GNG.2762,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,49,91,MC_243.104,CC_169.117
720575940613786774,[],GNG.2864,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'],left,40,58,MC_243.104,CC_169.117
720575940644965399,[],GNG.1922,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,123,227,MC_243.104,CC_144.132
720575940634796536,[],GNG.2880,,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,7,78,MC_1272.44,CC_3328.3
720575940617857694,['gustatory receptor neuron/GRN?'],GNG.2633,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,38,118,MC_243.104,CC_433.33
720575940613996959,['labial GRN'],GNG.2449,ACH,afferent,sensory,gustatory,,[],[],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,84,125,MC_243.104,CC_433.33
